serial_number,Cerebral Infarction,Brain Tumors,Dementia with Lewy Bodies,Epilepsy,Asthma,Chronic Heart Failure,Hypertension,Primary Sclerosing Cholangitis,Cholesterol Gallstone Disease,Chronic Enteropathies,Ulcerative Colitis,Acute Pancreatitis,Idiopathic Inflammatory Bowel Disease,Chronic Kidney Disease,Nephrolithiasis,Autoimmune Disease,Diabetes Mellitus,Cushing's Syndrome,Alimentary Small Cell Lymphoma,Osteoarthritis,Atopic Dermatitis,Food Allergy,Glaucoma,Diarrhea,Acute Diarrhea,Chronic Enteropathy,Obesity,Constipation,Dysbiosis,HealthyDistance,Diversity,TotalScore
20230210_BC10,59.3,70.3,16.1,53.4,48.3,22.9,50.0,46.6,11.0,12.7,73.7,51.7,29.7,33.1,75.4,28.0,94.1,17.8,82.2,68.6,82.2,70.3,22.9,83.9,5.0,24.6,43.2,94.1,29.7,66.9,7.6,37.4
20230210_BC51,59.3,55.1,55.1,66.9,78.8,58.5,29.7,80.5,70.3,36.4,24.6,78.8,22.9,77.1,65.3,50.0,78.8,58.5,36.4,65.3,65.3,26.3,63.6,61.9,22.9,65.3,50.0,43.2,61.9,43.2,31.4,46.9
20230210_BC01,59.3,5.0,65.3,46.6,24.6,78.8,58.5,5.0,55.1,5.0,41.5,26.3,39.8,95.0,36.4,95.0,33.1,80.5,9.3,5.0,58.5,83.9,75.4,5.0,89.0,44.9,58.5,72.0,7.6,95.0,85.6,60.4
20230210_BC60,59.3,26.3,63.6,73.7,56.8,56.8,14.4,73.7,72.0,82.2,43.2,87.3,38.1,48.3,46.6,13.6,50.0,44.9,51.7,43.2,60.2,9.3,61.9,24.6,51.7,85.6,36.4,17.8,89.0,65.3,51.7,70.4
20230210_BC14,59.3,65.3,5.0,41.5,91.5,70.3,55.1,28.0,21.2,53.4,55.1,61.9,19.5,17.8,53.4,13.6,66.9,63.6,34.7,93.2,50.0,58.5,65.3,26.3,48.3,31.4,68.6,75.4,50.0,70.3,26.3,51.1
20230210_BC20,92.4,46.6,28.0,36.4,46.6,75.4,41.5,41.5,34.7,65.3,58.5,85.6,46.6,22.9,38.1,55.1,51.7,73.7,72.0,16.1,33.1,68.6,73.7,51.7,55.1,50.0,70.3,61.9,68.6,5.0,60.2,43.0
20230210_BC56,59.3,48.3,5.9,85.6,72.0,29.7,12.7,12.7,12.7,39.8,77.1,36.4,48.3,34.7,48.3,58.5,72.0,33.1,87.3,51.7,21.2,48.3,38.1,63.6,21.2,17.8,14.4,11.0,44.9,31.4,29.7,35.9
20230210_BC28,59.3,61.9,26.3,87.3,77.1,5.9,39.8,82.2,22.9,9.3,9.3,41.5,5.9,83.9,80.5,13.6,95.0,12.7,43.2,66.9,89.0,14.4,9.3,53.4,5.0,43.2,55.1,66.9,38.1,58.5,5.0,36.8
20230210_BC22,59.3,94.1,75.4,14.4,91.5,66.9,95.0,34.7,29.7,95.0,95.0,22.9,95.0,9.3,5.0,33.1,12.7,66.9,85.6,48.3,53.4,73.7,72.0,75.4,61.9,39.8,94.1,87.3,51.7,21.2,33.1,35.6
20230210_BC59,59.3,80.5,41.5,26.3,53.4,60.2,16.1,38.1,19.5,60.2,83.9,80.5,72.0,60.2,77.1,63.6,73.7,46.6,95.0,39.8,24.6,82.2,55.1,89.0,38.1,29.7,7.6,85.6,36.4,34.7,44.9,38.0
20230210_BC21,59.3,87.3,72.0,5.9,68.6,87.3,85.6,51.7,33.1,63.6,85.6,39.8,95.0,95.0,16.1,13.6,11.0,85.6,61.9,53.4,5.9,92.4,90.7,56.8,92.4,14.4,90.7,39.8,34.7,55.1,82.2,54.8
20230210_BC50,59.3,75.4,17.8,31.4,44.9,65.3,28.0,21.2,26.3,61.9,95.0,66.9,73.7,44.9,68.6,44.9,44.9,65.3,92.4,56.8,17.8,78.8,60.2,95.0,63.6,41.5,5.9,41.5,55.1,68.6,77.1,65.9
20230210_BC23,59.3,73.7,83.9,48.3,73.7,73.7,61.9,72.0,87.3,95.0,38.1,95.0,11.0,7.6,51.7,36.4,58.5,77.1,41.5,5.9,16.1,7.6,82.2,38.1,66.9,90.7,61.9,73.7,90.7,75.4,43.2,72.4
20230210_BC17,59.3,12.7,87.3,19.5,7.6,94.1,83.9,16.1,66.9,26.3,12.7,16.1,53.4,55.1,24.6,95.0,17.8,92.4,7.6,50.0,5.0,95.0,92.4,5.9,94.1,78.8,92.4,5.9,72.0,95.0,95.0,86.6
20230210_BC18,59.3,78.8,66.9,28.0,29.7,55.1,63.6,94.1,68.6,29.7,5.0,75.4,12.7,80.5,90.7,95.0,83.9,72.0,31.4,83.9,46.6,75.4,66.9,94.1,24.6,61.9,26.3,53.4,73.7,11.0,21.2,36.7
20230210_BC37,59.3,60.2,58.5,78.8,60.2,28.0,24.6,66.9,58.5,44.9,48.3,77.1,7.6,43.2,89.0,43.2,85.6,19.5,44.9,34.7,63.6,12.7,36.4,58.5,19.5,75.4,31.4,55.1,83.9,61.9,22.9,59.6
20230210_BC13,59.3,50.0,77.1,68.6,65.3,50.0,36.4,77.1,77.1,78.8,34.7,89.0,17.8,63.6,58.5,61.9,53.4,51.7,48.3,77.1,39.8,5.0,46.6,50.0,72.0,89.0,75.4,21.2,94.1,5.0,58.5,51.9
20230206_BC30,94.1,31.4,92.4,80.5,12.7,43.2,21.2,48.3,95.0,21.2,5.9,24.6,77.1,82.2,43.2,94.1,31.4,68.6,21.2,5.0,41.5,41.5,53.4,34.7,78.8,95.0,24.6,5.0,9.3,28.0,95.0,39.0
20230206_BC32,95.0,5.9,90.7,95.0,14.4,17.8,5.9,55.1,80.5,5.0,16.1,5.9,16.1,72.0,95.0,48.3,80.5,5.0,39.8,12.7,70.3,44.9,21.2,33.1,34.7,73.7,39.8,44.9,5.0,72.0,28.0,35.7
20230206_BC31,95.0,72.0,89.0,65.3,16.1,16.1,31.4,83.9,94.1,38.1,61.9,43.2,65.3,68.6,60.2,72.0,61.9,34.7,83.9,29.7,92.4,51.7,19.5,28.0,36.4,83.9,5.0,16.1,77.1,38.1,73.7,61.9
20230206_BC33,95.0,14.4,95.0,94.1,5.9,41.5,5.0,63.6,92.4,5.0,17.8,14.4,31.4,87.3,94.1,53.4,60.2,29.7,46.6,14.4,31.4,46.6,48.3,44.9,60.2,77.1,48.3,29.7,5.0,56.8,63.6,39.6
20230215_BC19,5.9,17.8,11.0,9.3,19.5,90.7,87.3,19.5,82.2,41.5,22.9,11.0,80.5,31.4,12.7,46.6,16.1,94.1,5.0,21.2,9.3,89.0,87.3,60.2,53.4,38.1,78.8,65.3,70.3,39.8,87.3,63.6
20230215_BC38,21.2,95.0,70.3,5.0,22.9,95.0,95.0,17.8,9.3,68.6,92.4,83.9,90.7,5.9,26.3,13.6,5.0,95.0,22.9,93.2,7.6,95.0,95.0,5.0,95.0,7.6,95.0,48.3,41.5,78.8,48.3,57.0
20230215_BC30,26.3,28.0,61.9,39.8,75.4,44.9,68.6,85.6,44.9,87.3,68.6,50.0,43.2,78.8,50.0,13.6,34.7,36.4,68.6,85.6,75.4,53.4,43.2,48.3,77.1,68.6,19.5,46.6,87.3,33.1,50.0,57.5
20230215_BC42,59.3,68.6,56.8,58.5,91.5,24.6,19.5,60.2,65.3,58.5,65.3,63.6,70.3,46.6,28.0,78.8,55.1,21.2,73.7,72.0,44.9,22.9,34.7,78.8,26.3,72.0,33.1,24.6,78.8,5.0,65.3,48.1
20230215_BC25,5.0,77.1,21.2,34.7,36.4,77.1,34.7,89.0,38.1,34.7,94.1,46.6,56.8,95.0,73.7,85.6,39.8,5.0,77.1,11.0,72.0,39.8,12.7,16.1,85.6,46.6,53.4,92.4,19.5,46.6,78.8,45.2
20230215_BC27,59.3,89.0,53.4,5.0,91.5,95.0,80.5,5.0,75.4,73.7,26.3,55.1,95.0,26.3,9.3,92.4,14.4,95.0,19.5,82.2,5.0,95.0,95.0,7.6,75.4,5.0,83.9,5.0,48.3,22.9,90.7,50.3
20230215_BC16,24.6,95.0,73.7,7.6,91.5,26.3,60.2,53.4,5.0,31.4,90.7,90.7,66.9,50.0,92.4,13.6,82.2,28.0,95.0,93.2,78.8,72.0,26.3,95.0,29.7,5.0,44.9,95.0,26.3,12.7,12.7,17.7
20230215_BC12,59.3,51.7,94.1,21.2,91.5,82.2,94.1,95.0,95.0,85.6,19.5,68.6,83.9,11.0,22.9,13.6,19.5,90.7,12.7,55.1,56.8,31.4,85.6,68.6,58.5,95.0,72.0,83.9,95.0,89.0,72.0,86.7
20230215_BC14,11.0,92.4,78.8,43.2,91.5,5.0,66.9,39.8,5.0,22.9,87.3,53.4,36.4,65.3,95.0,39.8,75.4,16.1,94.1,60.2,94.1,5.9,5.0,90.7,50.0,22.9,60.2,95.0,33.1,7.6,14.4,18.8
20230215_BC29,9.3,34.7,50.0,83.9,31.4,38.1,11.0,75.4,73.7,77.1,33.1,72.0,21.2,73.7,70.3,29.7,68.6,24.6,55.1,93.2,61.9,5.0,33.1,31.4,46.6,80.5,17.8,7.6,66.9,17.8,38.1,41.2
20230215_BC20,14.4,43.2,80.5,60.2,51.7,68.6,46.6,95.0,78.8,94.1,63.6,95.0,44.9,85.6,56.8,38.1,41.5,55.1,70.3,63.6,26.3,36.4,70.3,11.0,70.3,92.4,11.0,26.3,92.4,41.5,61.9,65.6
20230215_BC24,5.0,85.6,85.6,55.1,39.8,33.1,53.4,33.1,16.1,33.1,80.5,82.2,68.6,61.9,85.6,87.3,63.6,39.8,89.0,5.0,80.5,16.1,29.7,65.3,56.8,34.7,41.5,78.8,24.6,48.3,24.6,33.3
20230215_BC41,59.3,44.9,44.9,44.9,91.5,63.6,33.1,92.4,43.2,75.4,39.8,70.3,61.9,90.7,29.7,13.6,36.4,70.3,28.0,93.2,48.3,56.8,68.6,82.2,65.3,70.3,34.7,56.8,85.6,60.2,83.9,75.8
20230215_BC22,59.3,24.6,48.3,61.9,70.3,53.4,70.3,90.7,56.8,70.3,70.3,65.3,26.3,75.4,66.9,31.4,65.3,38.1,50.0,93.2,73.7,34.7,44.9,73.7,41.5,63.6,9.3,80.5,80.5,16.1,36.4,45.1
20230215_BC21,59.3,39.8,36.4,95.0,66.9,11.0,22.9,31.4,28.0,50.0,60.2,19.5,33.1,39.8,55.1,60.2,38.1,11.0,60.2,78.8,55.1,5.0,11.0,14.4,44.9,55.1,22.9,19.5,60.2,19.5,46.6,41.7
20230215_BC23,59.3,19.5,38.1,90.7,28.0,51.7,48.3,58.5,41.5,16.1,21.2,33.1,14.4,53.4,61.9,83.9,70.3,26.3,33.1,24.6,66.9,17.8,50.0,39.8,39.8,48.3,77.1,60.2,21.2,26.3,34.7,26.7
20230215_BC17,19.5,83.9,95.0,11.0,91.5,80.5,95.0,95.0,95.0,72.0,89.0,73.7,41.5,19.5,19.5,51.7,5.9,83.9,16.1,93.2,95.0,60.2,83.9,9.3,95.0,95.0,95.0,50.0,28.0,77.1,53.4,52.8
20230215_BC18,7.6,7.6,33.1,24.6,58.5,83.9,72.0,22.9,53.4,46.6,50.0,12.7,82.2,70.3,11.0,56.8,5.0,78.8,5.0,93.2,5.0,94.1,80.5,12.7,43.2,60.2,85.6,12.7,82.2,85.6,66.9,79.4
20230131_BC41,59.3,33.1,5.0,70.3,11.0,5.0,43.2,87.3,51.7,5.9,11.0,31.4,5.0,89.0,83.9,73.7,95.0,14.4,38.1,17.8,95.0,33.1,5.0,21.2,7.6,51.7,80.5,63.6,17.8,95.0,5.9,42.9
20230322_BC53,59.3,63.6,51.7,51.7,41.5,46.6,92.4,5.9,50.0,43.2,7.6,5.0,89.0,5.0,5.0,70.3,7.6,50.0,5.0,41.5,34.7,80.5,56.8,22.9,5.0,19.5,66.9,22.9,65.3,50.0,11.0,45.2
20230322_BC62,16.1,36.4,43.2,92.4,43.2,14.4,78.8,78.8,83.9,80.5,14.4,7.6,85.6,94.1,7.6,13.6,28.0,9.3,14.4,28.0,95.0,11.0,16.1,19.5,82.2,58.5,38.1,5.0,14.4,80.5,94.1,59.9
20230322_BC44,17.8,22.9,9.3,22.9,17.8,31.4,26.3,68.6,14.4,66.9,53.4,21.2,24.6,92.4,63.6,13.6,48.3,61.9,53.4,9.3,77.1,66.9,24.6,85.6,68.6,21.2,29.7,89.0,16.1,87.3,41.5,49.0
20230322_BC63,22.9,5.0,5.0,75.4,38.1,7.6,5.0,7.6,46.6,56.8,5.0,5.0,58.5,38.1,17.8,89.0,22.9,53.4,11.0,31.4,36.4,29.7,7.6,17.8,90.7,9.3,87.3,14.4,31.4,44.9,70.3,46.7
20230322_BC58,59.3,66.9,14.4,33.1,9.3,19.5,51.7,26.3,5.0,17.8,82.2,38.1,28.0,5.0,78.8,13.6,92.4,22.9,90.7,38.1,87.3,77.1,17.8,95.0,5.9,11.0,5.0,95.0,11.0,73.7,5.0,32.4
20230322_BC46,5.0,53.4,39.8,38.1,55.1,48.3,89.0,5.0,48.3,28.0,5.0,5.0,87.3,5.0,5.0,82.2,9.3,56.8,5.9,61.9,11.0,63.6,51.7,80.5,14.4,5.0,73.7,51.7,39.8,83.9,17.8,50.1
20230322_BC43,59.3,95.0,60.2,5.0,5.0,85.6,90.7,11.0,39.8,89.0,95.0,28.0,94.1,41.5,14.4,13.6,21.2,82.2,75.4,36.4,28.0,87.3,78.8,92.4,80.5,5.9,82.2,90.7,5.9,82.2,89.0,56.0
20230322_BC47,12.7,11.0,31.4,95.0,63.6,34.7,65.3,14.4,17.8,7.6,78.8,9.3,75.4,16.1,34.7,80.5,43.2,5.9,78.8,75.4,51.7,21.2,28.0,29.7,28.0,26.3,5.0,33.1,5.0,24.6,55.1,25.5
20230322_BC37,59.3,56.8,24.6,89.0,61.9,5.0,38.1,36.4,31.4,14.4,29.7,34.7,9.3,12.7,72.0,13.6,90.7,5.0,58.5,19.5,90.7,19.5,5.9,66.9,11.0,33.1,65.3,68.6,46.6,36.4,9.3,32.9
