taxa,20230210_BC19
s__Gleimia_europaea,4.16E-05
s__Gordonibacter_pamelaeae,6.24E-05
s__Gottschalkia_acidurici,2.08E-05
s__Helicobacter_canis,0.000208073
s__Herbinix_hemicellulosilytica,2.08E-05
s__Herbinix_luporum,0.000228881
s__Herbivorax_saccincola,2.08E-05
s__Holdemanella_biformis,2.08E-05
s__Holdemanella_sp002299315,0.000478568
s__Holdemania_filiformis,2.08E-05
s__Hungatella_celerecrescens,0.001061174
s__Hungatella_effluvii,6.24E-05
s__Hungatella_guttoideum,6.24E-05
s__Hungatella_hathewayi,0.000790678
s__Hungatella_indolis,0.000124844
s__Hungatella_saccharolyticum,8.32E-05
s__Hungatella_sp000526575,0.000166459
s__Hungatella_sphenoides,0.000332917
s__Hydrogenoanaerobacterium_saccharovorans,0.000145651
s__Intestinimonas_butyriciproducens,0.001622971
s__Intestinimonas_massiliensis,2.08E-05
s__Kandleria_sp900317725,0.000728256
s__Kineothrix_alysoides,2.08E-05
s__Lachnobacterium_bovis,4.16E-05
s__Lachnoclostridium_edouardi,0.000478568
s__Lachnoclostridium_phytofermentans,0.000104037
s__Lachnospira_eligens,0.000228881
s__Lachnospira_rogosae,0.000249688
s__Lachnospira_sp000436475,0.000166459
s__Lachnospira_sp000436535,0.001123596
s__Lachnospira_sp000437735,0.000208073
s__Lachnotalea_glycerini,0.000686642
s__Lactobacillus_crispatus,4.16E-05
s__Lactobacillus_johnsonii,2.08E-05
s__Lawsonibacter_asaccharolyticus,4.16E-05
s__Lawsonibacter_sp000177015,0.000894715
s__Lawsonibacter_sp900066645,0.000145651
s__Lawsonibacter_sp900066825,0.000915522
s__MS4_sp000752215,4.16E-05
s__Mailhella_massiliensis,0.000915522
s__Marseille-P2935_sp900104565,0.000124844
s__Marseille-P3106_sp900169975,0.000416146
s__Marseille-P4683_sp900232885,0.000208073
s__Massilimaliae_timonensis,4.16E-05
s__Massilioclostridium_coli,2.08E-05
s__Massilioclostridium_methylpentosum,6.24E-05
s__Megamonas_funiformis,0.014003329
s__Megasphaera_elsdenii,0.005097794
s__Monoglobus_pectinilyticus,4.16E-05
s__Negativibacillus_massiliensis,0.031606325
s__Neobitarella_massiliensis,8.32E-05
s__OEMS01_sp900199405,0.000665834
s__Odoribacter_splanchnicus,0.006970454
s__Oscillibacter_ruminantium,4.16E-05
s__Oscillibacter_sp000403435,0.000104037
s__Oscillibacter_sp900066435,0.001539742
s__Oscillibacter_valericigenes,4.16E-05
s__Parabacteroides_distasonis,0.001019559
s__Parabacteroides_johnsonii,4.16E-05
s__Parabacteroides_merdae,0.006200583
s__Parabacteroides_sp900155425,8.32E-05
s__Paraprevotella_clara,2.08E-05
s__Paraprevotella_xylaniphila,0.003682896
s__Pauljensenia_pacaensis,2.08E-05
s__Phascolarctobacterium_succinatutens,0.011069496
s__Phocea_massiliensis,0.001747815
s__Prevotella_copri,0.037161881
s__Pseudoflavonifractor_capillosus,0.000208073
s__Pseudoflavonifractor_sp900079765,8.32E-05
s__Raoultibacter_massiliensis,4.16E-05
s__Robinsoniella_peoriensis,0.008801498
s__Romboutsia_ilealis,2.08E-05
s__Romboutsia_lituseburensis,2.08E-05
s__Roseburia_hominis,0.000104037
s__Roseburia_intestinalis,0.000520183
s__Rubneribacter_badeniensis,6.24E-05
s__Ruminiclostridium_sp000244875,0.000104037
s__Ruminiclostridium_sp001717745,0.000499376
s__Ruminiclostridium_thermosuccinogenes,0.000291303
s__Ruminococcus_albus,2.08E-05
s__Ruminococcus_sp000437095,0.006179775
s__Ruminococcus_sp003011855,8.32E-05
s__Ruthenibacterium_lactatiformans,0.000291303
s__S5-A14a_sp000758905,0.003786933
s__Slackia_piriformis,0.000395339
s__Soleaferrea_massiliensis,0.000145651
s__Solobacterium_extructa,2.08E-05
s__Solobacterium_moorei,0.000104037
s__Solobacterium_sp900343155,0.000249688
s__Streptococcus_lutetiensis,0.000187266
s__Streptococcus_minor,2.08E-05
s__Streptococcus_sp000187445,2.08E-05
s__Streptococcus_suis,2.08E-05
s__Sutterella_wadsworthensis,0.081585518
s__TC1_sp001584725,2.08E-05
s__Turicibacter_sanguinis,2.08E-05
s__Turicibacter_sp001543345,2.08E-05
s__Turicimonas_muris,0.000124844
s__Tyzzerella_nexilis,0.00707449
s__Tyzzerella_sp000209385,0.000208073
s__Tyzzerella_sp000411335,0.013129422
s__UBA1417_sp003531055,0.000124844
